01-08 01:21:08 Model para number = 14.73
01-08 01:30:05 [ 1] Lr: 0.001000, Training: 0.98%,  Loss: 15.93020, ACC: 0.00% 
01-08 01:30:05 [ 1] Lr: 0.001000, Training: 0.99%,  Loss: 15.92621, ACC: 0.00% 
01-08 01:30:25 [ 1] Lr: 0.001000, Training: 1.00%,  Loss: 15.92771, ACC: 0.00% 
01-08 01:30:25 [ 1] Lr: 0.001000, Training: 1.01%,  Loss: 15.92286, ACC: 0.00% 
01-08 01:30:26 [ 1] Lr: 0.001000, Training: 1.02%,  Loss: 15.92235, ACC: 0.00% 
01-08 01:30:26 [ 1] Lr: 0.001000, Training: 1.03%,  Loss: 15.92077, ACC: 0.00% 
01-08 01:30:48 [ 1] Lr: 0.001000, Training: 1.03%,  Loss: 15.91911, ACC: 0.00% 
01-08 01:30:48 [ 1] Lr: 0.001000, Training: 1.04%,  Loss: 15.91925, ACC: 0.00% 
01-08 01:30:48 [ 1] Lr: 0.001000, Training: 1.05%,  Loss: 15.91530, ACC: 0.00% 
01-08 01:30:49 [ 1] Lr: 0.001000, Training: 1.06%,  Loss: 15.91311, ACC: 0.00% 
01-08 01:31:08 [ 1] Lr: 0.001000, Training: 1.07%,  Loss: 15.91320, ACC: 0.00% 
01-08 01:31:09 [ 1] Lr: 0.001000, Training: 1.08%,  Loss: 15.91212, ACC: 0.00% 
01-08 01:31:09 [ 1] Lr: 0.001000, Training: 1.09%,  Loss: 15.90780, ACC: 0.00% 
01-08 01:31:09 [ 1] Lr: 0.001000, Training: 1.10%,  Loss: 15.90382, ACC: 0.00% 
01-08 01:31:25 [ 1] Lr: 0.001000, Training: 1.11%,  Loss: 15.90316, ACC: 0.00% 
01-08 01:31:25 [ 1] Lr: 0.001000, Training: 1.12%,  Loss: 15.89975, ACC: 0.00% 
01-08 01:31:26 [ 1] Lr: 0.001000, Training: 1.13%,  Loss: 15.89667, ACC: 0.00% 
01-08 01:31:26 [ 1] Lr: 0.001000, Training: 1.14%,  Loss: 15.89152, ACC: 0.00% 
01-08 01:31:51 [ 1] Lr: 0.001000, Training: 1.14%,  Loss: 15.88698, ACC: 0.00% 
01-08 01:31:51 [ 1] Lr: 0.001000, Training: 1.15%,  Loss: 15.88539, ACC: 0.00% 
01-08 01:31:51 [ 1] Lr: 0.001000, Training: 1.16%,  Loss: 15.88208, ACC: 0.00% 
